t_wall,id,putio_status,lifecycle_state,percent_done,putio_pct,local_present,local_dl,local_total
7.15,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.15,4002,DOWNLOADING,None,0.4,80,False,,
7.21,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.21,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.21,4002,DOWNLOADING,None,0.4,80,False,,
7.27,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.27,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.27,4002,DOWNLOADING,None,0.4,80,False,,
7.33,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.33,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.33,4002,DOWNLOADING,None,0.4,80,False,,
7.39,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.39,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.39,4002,DOWNLOADING,None,0.4,80,False,,
7.45,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.45,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.45,4002,DOWNLOADING,None,0.4,80,False,,
7.52,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.52,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.52,4002,DOWNLOADING,None,0.4,80,False,,
7.58,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.58,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.58,4002,DOWNLOADING,None,0.4,80,False,,
7.64,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.64,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.64,4002,DOWNLOADING,None,0.4,80,False,,
7.7,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.7,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.7,4002,DOWNLOADING,None,0.4,80,False,,
7.76,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.76,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.76,4002,DOWNLOADING,None,0.4,80,False,,
7.82,4002,DOWNLOADING,None,0.4,80,False,,
7.82,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.82,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.88,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.88,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.88,4002,DOWNLOADING,None,0.4,80,False,,
7.94,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.94,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.94,4002,DOWNLOADING,None,0.4,80,False,,
8.0,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.0,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.0,4002,DOWNLOADING,None,0.48,96,False,,
8.06,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.06,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.06,4002,DOWNLOADING,None,0.48,96,False,,
8.12,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.12,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.12,4002,DOWNLOADING,None,0.48,96,False,,
8.18,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.18,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.18,4002,DOWNLOADING,None,0.48,96,False,,
8.24,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.24,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.24,4002,DOWNLOADING,None,0.48,96,False,,
8.31,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.31,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.31,4002,DOWNLOADING,None,0.48,96,False,,
8.37,4002,DOWNLOADING,None,0.48,96,False,,
8.37,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.37,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.42,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.42,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.42,4002,DOWNLOADING,None,0.48,96,False,,
8.49,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.49,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.49,4002,DOWNLOADING,None,0.48,96,False,,
8.54,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.54,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.54,4002,DOWNLOADING,None,0.48,96,False,,
8.6,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.6,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.6,4002,DOWNLOADING,None,0.48,96,False,,
8.66,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.66,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.66,4002,DOWNLOADING,None,0.48,96,False,,
8.72,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.72,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.72,4002,DOWNLOADING,None,0.48,96,False,,
8.78,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.78,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.78,4002,DOWNLOADING,None,0.48,96,False,,
8.84,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.84,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.84,4002,DOWNLOADING,None,0.48,96,False,,
8.9,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.9,4003,COMPLETED,Processed,1,100,True,15136000,15136000
8.9,4002,DOWNLOADING,None,0.48,96,False,,
8.96,4001,COMPLETED,Processed,1,100,True,12000000,12000000
8.96,4002,COMPLETED,Downloading,0.5,100,True,0,40000000
8.96,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.02,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.02,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.02,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.08,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.08,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.08,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.14,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.14,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.14,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.21,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.21,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.21,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.27,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.27,4002,COMPLETED,Processed,1,100,True,40000000,40000000
